home_team,away_team,match_date,league,avg_goal_diff_h2h,h2h_home_winrate,home_form_winrate,away_form_winrate,home_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_scored,away_avg_goals_conceded,h2h_draw_rate,h2h_total_goals,home_draw_rate,away_draw_rate,combined_draw_rate,form_differential,goals_differential,expected_total_goals,home_total_goals_avg,away_total_goals_avg,league_avg_goals,league_draw_rate,league_home_adv,home_momentum,away_momentum,momentum_differential,is_low_scoring,is_defensive_match,home_true_prob,draw_true_prob,away_true_prob,market_draw_confidence,market_favorite_confidence,market_competitiveness,odds_spread,result
Empoli,Lazio,2021-08-21 00:00:00+00:00,SA,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.5,0.25,0.1,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,A
Bochum,Mainz,2021-08-21 00:00:00+00:00,BL1,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.5,3.1,0.3,0.5,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Ein Frankfurt,Augsburg,2021-08-21 00:00:00+00:00,BL1,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.5,3.1,0.3,0.5,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,D
Freiburg,Dortmund,2021-08-21 00:00:00+00:00,BL1,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,1.0,0.0,0.5,0.0,0.0,2.0,2.5,2.5,3.1,0.3,0.5,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Greuther Furth,Bielefeld,2021-08-21 00:00:00+00:00,BL1,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.0,1.0,0.5,0.0,0.0,2.0,2.5,2.5,3.1,0.3,0.5,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,D
Hertha,Wolfsburg,2021-08-21 00:00:00+00:00,BL1,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.5,3.1,0.3,0.5,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,A
Leverkusen,M'gladbach,2021-08-21 00:00:00+00:00,BL1,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,1.0,1.0,1.0,0.0,0.0,2.0,2.5,2.5,3.1,0.3,0.5,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Torino,Atalanta,2021-08-21 00:00:00+00:00,SA,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.5,0.25,0.1,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,A
Inter,Genoa,2021-08-21 00:00:00+00:00,SA,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.5,0.25,0.1,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Verona,Sassuolo,2021-08-21 00:00:00+00:00,SA,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.5,0.25,0.1,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,A
