window,match_date,home_team,away_team,league,predicted,actual,correct,confidence,decimal_odds,profit
1,2022-05-22 00:00:00+00:00,Sassuolo,Milan,SA,away_win,away_win,True,0.629,1.45,0.45
1,2022-05-22 00:00:00+00:00,Spezia,Napoli,SA,away_win,away_win,True,0.637,1.53,0.53
1,2022-05-22 00:00:00+00:00,Inter,Sampdoria,SA,home_win,home_win,True,0.745,1.14,0.14
1,2022-05-22 00:00:00+00:00,Liverpool,Wolves,PL,home_win,home_win,True,0.715,1.14,0.14
1,2022-05-22 00:00:00+00:00,Granada,Espanol,PD,home_win,draw,False,0.623,1.44,-1.0
1,2022-05-22 00:00:00+00:00,Chelsea,Watford,PL,home_win,home_win,True,0.642,1.18,0.18
1,2022-05-22 00:00:00+00:00,Man City,Aston Villa,PL,home_win,home_win,True,0.647,1.16,0.16
1,2022-05-22 00:00:00+00:00,Arsenal,Everton,PL,home_win,home_win,True,0.657,1.36,0.36
1,2022-05-22 00:00:00+00:00,Norwich,Tottenham,PL,away_win,away_win,True,0.681,1.25,0.25
1,2022-08-05 00:00:00+00:00,Ein Frankfurt,Bayern Munich,BL1,away_win,away_win,True,0.64,1.5,0.5
1,2022-08-05 00:00:00+00:00,Crystal Palace,Arsenal,PL,away_win,away_win,True,0.562,1.85,0.85
1,2022-08-06 00:00:00+00:00,Tottenham,Southampton,PL,home_win,home_win,True,0.586,1.33,0.33
1,2022-08-06 00:00:00+00:00,Everton,Chelsea,PL,away_win,away_win,True,0.575,1.61,0.61
1,2022-08-06 00:00:00+00:00,Fulham,Liverpool,PL,away_win,draw,False,0.597,1.25,-1.0
1,2022-08-07 00:00:00+00:00,West Ham,Man City,PL,away_win,away_win,True,0.587,1.36,0.36
1,2022-08-07 00:00:00+00:00,FC Koln,Schalke 04,BL1,home_win,home_win,True,0.58,1.7,0.7
1,2022-08-07 00:00:00+00:00,Stuttgart,Leipzig,BL1,away_win,draw,False,0.585,1.75,-1.0
1,2022-08-13 00:00:00+00:00,Man City,Bournemouth,PL,home_win,home_win,True,0.731,1.06,0.06
1,2022-08-13 00:00:00+00:00,Arsenal,Leicester,PL,home_win,home_win,True,0.554,1.53,0.53
1,2022-08-13 00:00:00+00:00,Lecce,Inter,SA,away_win,away_win,True,0.575,1.28,0.28
1,2022-08-13 00:00:00+00:00,Barcelona,Vallecano,PD,home_win,draw,False,0.657,1.22,-1.0
1,2022-08-13 00:00:00+00:00,Milan,Udinese,SA,home_win,home_win,True,0.609,1.44,0.44
1,2022-08-13 00:00:00+00:00,Leverkusen,Augsburg,BL1,home_win,away_win,False,0.632,1.3,-1.0
1,2022-08-14 00:00:00+00:00,Bayern Munich,Wolfsburg,BL1,home_win,home_win,True,0.703,1.12,0.12
1,2022-08-14 00:00:00+00:00,Fiorentina,Cremonese,SA,home_win,home_win,True,0.618,1.36,0.36
1,2022-08-14 00:00:00+00:00,Salernitana,Roma,SA,away_win,away_win,True,0.57,1.44,0.44
1,2022-08-15 00:00:00+00:00,Betis,Elche,PD,home_win,home_win,True,0.642,1.44,0.44
1,2022-08-15 00:00:00+00:00,Liverpool,Crystal Palace,PL,home_win,draw,False,0.699,1.18,-1.0
1,2022-08-19 00:00:00+00:00,Sevilla,Valladolid,PD,home_win,draw,False,0.58,1.5,-1.0
1,2022-08-19 00:00:00+00:00,M'gladbach,Hertha,BL1,home_win,home_win,True,0.579,1.5,0.5
1,2022-08-20 00:00:00+00:00,Tottenham,Wolves,PL,home_win,home_win,True,0.62,1.4,0.4
1,2022-08-20 00:00:00+00:00,Leverkusen,Hoffenheim,BL1,home_win,away_win,False,0.571,1.66,-1.0
1,2022-08-20 00:00:00+00:00,Dortmund,Werder Bremen,BL1,home_win,away_win,False,0.597,1.36,-1.0
1,2022-08-20 00:00:00+00:00,Inter,Spezia,SA,home_win,home_win,True,0.683,1.16,0.16
1,2022-08-21 00:00:00+00:00,Napoli,Monza,SA,home_win,home_win,True,0.617,1.33,0.33
1,2022-08-21 00:00:00+00:00,Leeds,Chelsea,PL,away_win,home_win,False,0.615,1.53,-1.0
1,2022-08-21 00:00:00+00:00,Bochum,Bayern Munich,BL1,away_win,away_win,True,0.576,1.18,0.18
1,2022-08-22 00:00:00+00:00,Man United,Liverpool,PL,away_win,home_win,False,0.554,1.6,-1.0
1,2022-08-22 00:00:00+00:00,Sampdoria,Juventus,SA,away_win,draw,False,0.626,1.6,-1.0
1,2022-08-26 00:00:00+00:00,Freiburg,Bochum,BL1,home_win,home_win,True,0.654,1.5,0.5
1,2022-08-27 00:00:00+00:00,Liverpool,Bournemouth,PL,home_win,home_win,True,0.732,1.1,0.1
1,2022-08-27 00:00:00+00:00,Man City,Crystal Palace,PL,home_win,home_win,True,0.715,1.18,0.18
1,2022-08-27 00:00:00+00:00,Arsenal,Fulham,PL,home_win,home_win,True,0.629,1.3,0.3
1,2022-08-27 00:00:00+00:00,Chelsea,Leicester,PL,home_win,home_win,True,0.591,1.4,0.4
1,2022-08-27 00:00:00+00:00,Hoffenheim,Augsburg,BL1,home_win,home_win,True,0.682,1.45,0.45
1,2022-08-27 00:00:00+00:00,Milan,Bologna,SA,home_win,home_win,True,0.617,1.33,0.33
1,2022-08-27 00:00:00+00:00,Hertha,Dortmund,BL1,away_win,away_win,True,0.615,1.66,0.66
1,2022-08-27 00:00:00+00:00,Bayern Munich,M'gladbach,BL1,home_win,draw,False,0.611,1.18,-1.0
1,2022-08-27 00:00:00+00:00,Leipzig,Wolfsburg,BL1,home_win,home_win,True,0.585,1.45,0.45
1,2022-08-28 00:00:00+00:00,Nott'm Forest,Tottenham,PL,away_win,away_win,True,0.564,1.44,0.44
1,2022-08-28 00:00:00+00:00,Espanol,Real Madrid,PD,away_win,away_win,True,0.631,1.45,0.45
1,2022-08-28 00:00:00+00:00,Fiorentina,Napoli,SA,away_win,draw,False,0.566,2.15,-1.0
1,2022-08-28 00:00:00+00:00,Barcelona,Valladolid,PD,home_win,home_win,True,0.679,1.14,0.14
1,2022-08-30 00:00:00+00:00,Sassuolo,Milan,SA,away_win,draw,False,0.624,1.57,-1.0
1,2022-08-30 00:00:00+00:00,Southampton,Chelsea,PL,away_win,home_win,False,0.622,1.61,-1.0
1,2022-08-30 00:00:00+00:00,Inter,Cremonese,SA,home_win,home_win,True,0.732,1.14,0.14
1,2022-08-30 00:00:00+00:00,Roma,Monza,SA,home_win,home_win,True,0.644,1.3,0.3
1,2022-08-31 00:00:00+00:00,Man City,Nott'm Forest,PL,home_win,home_win,True,0.733,1.06,0.06
1,2022-08-31 00:00:00+00:00,Juventus,Spezia,SA,home_win,home_win,True,0.606,1.28,0.28
